,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20240504,19:15:08,-35.47,-59.18,84,32
1,20240503,12:51:03,-26.85,27.89,7,5
2,20240503,12:51:01,-26.94,28.89,21,10
3,20240504,12:32:18,-26.59,29.14,16,8
4,20240504,12:32:26,-26.12,29.33,20,7
5,20240505,09:09:09,37.33,62.12,39,19
6,20240505,10:49:38,38.16,53.9,39,13
7,20240505,10:50:03,39.45,53.72,75,25
8,20240505,10:53:23,48.41,36.45,11,5
9,20240506,08:47:51,31.33,74.42,48,23
10,20240506,10:30:51,38.71,60.9,62,34
11,20240507,08:34:33,54.01,87.59,72,37
12,20240507,10:07:47,25.04,67.27,82,30
13,20240507,06:48:28,37.41,110.75,34,14
14,20240507,13:16:04,-26.56,29.23,27,10
15,20240507,18:21:21,-23.71,-46.55,17,11
16,20240507,20:19:33,32.7,-97.98,5,3
17,20240507,20:19:49,32.07,-101.71,134,43
18,20240507,20:20:21,36.19,-96.61,31,12
19,20240508,08:15:36,51.63,75.4,13,8
20,20240508,06:30:14,39.76,113.07,27,11
21,20240508,09:48:54,24.98,67.11,75,39
22,20240508,09:53:15,40.1,62.64,46,17
23,20240508,12:57:16,-26.48,29.16,15,6
24,20240508,12:57:30,-25.83,27.99,5,3
25,20240509,07:54:39,45.17,84.64,23,12
26,20240509,12:38:39,-26.24,27.98,4,5
27,20240509,12:38:30,-26.14,29.14,16,9
28,20240509,19:21:39,-34.35,-58.58,40,24
29,20240509,21:22:07,31.78,-101.73,209,99
30,20240510,10:54:29,32.86,51.82,19,11
31,20240510,10:56:02,38.83,53.92,59,28
32,20240510,10:59:24,48.24,37.2,9,4
33,20240510,12:19:58,-25.97,29.05,32,17
